Name,HB 308,HB 310,HB 315,HB 323,HB 347,HB 359,HB 372,HB 401,HB 408,HB 425,,,,,,,,,,,,,,,,,,,,
Adkins,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Bechler,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Bentley,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Benvenuti,YEA,YEA,YEA,NV,YEA,YEA,YEA,NV,NV,YEA,,,,,,,,,,,,,,,,,,,,
Blanton,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Bratcher,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Brown G,YEA,YEA,NAY,NV,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Brown L,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Bunch,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Burch,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,,,,,,,,,,,,,,,,,,,,
Cantrell,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Carney,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Castlen,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Couch,YEA,NAY,NV,YEA,NV,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Coursey,YEA,YEA,YEA,YEA,YEA,NV,NV,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
DeCesare,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Donohue,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Dossett,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
DuPlessis,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Elliott,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Fischer,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,,,,,,,,,,,,,,,,,,,,
Fleming,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Flood,YEA,YEA,NAY,NV,YEA,YEA,YEA,NV,NV,YEA,,,,,,,,,,,,,,,,,,,,
Fugate,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Gentry,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Gooch,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,,,,,,,,,,,,,,,,,,,,
Graham,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Greer,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,NV,YEA,,,,,,,,,,,,,,,,,,,,
Hale,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,,,,,,,,,,,,,,,,,,,,
Harris,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Hart,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Hatton,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Heath,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Herald,NV,YEA,YEA,NV,YEA,NV,NV,YEA,NV,YEA,,,,,,,,,,,,,,,,,,,,
Hoover,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Horlander,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,,,,,,,,,,,,,,,,,,,,
Imes,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,,,,,,,,,,,,,,,,,,,,
Jenkins,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Johnson D,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Johnson DJ,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Kay,NV,YEA,YEA,NV,YEA,YEA,NV,YEA,NV,YEA,,,,,,,,,,,,,,,,,,,,
Keene,NV,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
King,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Koenig,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Lee,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Linder,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Marzian,NV,YEA,NV,NV,NV,NV,YEA,YEA,NV,YEA,,,,,,,,,,,,,,,,,,,,
Mayfield,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
McCoy,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Meade,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Meeks,NV,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Meredith,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Meyer,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Miles,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Miller C,NV,YEA,YEA,YEA,YEA,NV,NV,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Miller J,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Mills,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Moffett,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Moore,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Morgan,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Moser,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Nelson,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Nemes,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Osborne,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Overly,NV,YEA,NV,NV,NV,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Owens,NV,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Palumbo,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,NV,YEA,,,,,,,,,,,,,,,,,,,,
Petrie,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Pratt,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Prunty,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Rader,NV,NV,NV,NV,NV,NV,NV,NV,NV,YEA,,,,,,,,,,,,,,,,,,,,
Rand,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Reed,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Richards,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Riggs,YEA,YEA,YEA,YEA,YEA,NV,YEA,NV,NV,YEA,,,,,,,,,,,,,,,,,,,,
Riley,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Rothenburger,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Rowland,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Rudy,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Santoro,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Schamore,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Scott,NV,YEA,NAY,NV,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Shell,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Simpson,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Sims,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,,,,,,,,,,,,,,,,,,,,
Sinnette,YEA,NV,YEA,NV,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
St. Onge,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Stewart,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Stone,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Thomas,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Tipton,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Turner,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Upchurch,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Watkins,NV,YEA,NV,YEA,NV,NV,NV,YEA,NV,YEA,,,,,,,,,,,,,,,,,,,,
Wayne,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Webber,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Wells,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,,,,,,,,,,,,,,,,,,,,
Westrom,YEA,YEA,YEA,NV,YEA,YEA,YEA,YEA,NV,YEA,,,,,,,,,,,,,,,,,,,,
Wuchner,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
York,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
